"Name","Surname","ID/Passport","Date of Birth","Gender","Age Group","Team","Position","Jersey","School","Zone","Season","Status","Mobile","Email","Address","Parent/Guardian","Parent Contact","Parent Email","Emergency Contact","Medical Aid","Allergies","Chronic Conditions","Medical Notes"
"","","","2010-05-10","Female","U15","U15","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1767767568793@example.com","","","","","","","","",""
"","","","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1768128611582@example.com","","","","","","","","",""
"","","1005100000001","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779076866348@example.com","","","","","","","","",""
"","","1005077439568","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779077439406@example.com","","","","","","","","",""
"","","1005077596213","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779077596071@example.com","","","","","","","","",""
"","","1005077680108","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779077679952@example.com","","","","","","","","",""
"","","1005077901283","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779077901135@example.com","","","","","","","","",""
"","","1005167233554","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1779167233354@example.com","","","","","","","","",""
"","","1005059432032","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781059431812@example.com","","","","","","","","",""
"","","1005059825031","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781059824754@example.com","","","","","","","","",""
"","","1005062424055","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781062423899@example.com","","","","","","","","",""
"","","1005062550066","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781062549861@example.com","","","","","","","","",""
"","","1005080933090","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781080932884@example.com","","","","","","","","",""
"","","1005081039311","2010-05-10","Female","U16","U16","","","Gammel Street","Uitenhage Zone","2026","approved","","e2e.player.1781081039073@example.com","","","","","","","","",""
